0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,3_0,3_1,3_2,4_0,4_1,4_2
97,0.14,0.12,0.16,0.15,0.15,0.14,0.13,0.14,0.14,0.15,0.12,0.14,0.15,0.14,0.14
98,0.14,0.13,0.16,0.15,0.15,0.14,0.12,0.15,0.13,0.15,0.12,0.14,0.15,0.14,0.14
99,0.14,0.13,0.16,0.15,0.16,0.14,0.13,0.14,0.13,0.15,0.12,0.14,0.15,0.14,0.14
100,0.14,0.13,0.16,0.15,0.16,0.14,0.13,0.14,0.13,0.16,0.12,0.14,0.15,0.14,0.14
101,0.14,0.13,0.16,0.15,0.16,0.14,0.13,0.14,0.14,0.16,0.12,0.14,0.15,0.13,0.14
102,0.14,0.13,0.16,0.15,0.16,0.14,0.13,0.14,0.13,0.16,0.12,0.14,0.15,0.14,0.13
103,0.13,0.13,0.16,0.15,0.16,0.14,0.13,0.14,0.13,0.16,0.12,0.13,0.15,0.14,0.14
104,0.13,0.13,0.16,0.15,0.16,0.14,0.14,0.13,0.14,0.15,0.12,0.13,0.15,0.14,0.14
105,0.13,0.14,0.16,0.15,0.16,0.14,0.13,0.13,0.14,0.15,0.12,0.13,0.15,0.14,0.14
106,0.14,0.13,0.17,0.15,0.16,0.14,0.13,0.13,0.14,0.15,0.12,0.14,0.15,0.13,0.14
107,0.14,0.13,0.17,0.15,0.16,0.14,0.12,0.14,0.14,0.15,0.12,0.14,0.15,0.13,0.14
108,0.14,0.13,0.17,0.15,0.16,0.14,0.12,0.14,0.14,0.15,0.12,0.14,0.15,0.13,0.14
109,0.14,0.13,0.17,0.14,0.16,0.14,0.13,0.14,0.14,0.15,0.12,0.14,0.15,0.13,0.14
110,0.14,0.12,0.17,0.14,0.16,0.13,0.13,0.14,0.14,0.15,0.13,0.14,0.15,0.13,0.14
111,0.14,0.13,0.17,0.14,0.16,0.13,0.12,0.14,0.14,0.15,0.13,0.14,0.16,0.13,0.14
112,0.14,0.12,0.17,0.15,0.16,0.13,0.12,0.14,0.14,0.16,0.13,0.14,0.15,0.13,0.15
113,0.15,0.12,0.17,0.15,0.16,0.14,0.12,0.14,0.14,0.16,0.13,0.14,0.15,0.13,0.15
114,0.15,0.12,0.17,0.15,0.17,0.13,0.13,0.14,0.13,0.16,0.14,0.14,0.15,0.14,0.15
116,0.15,0.13,0.17,0.15,0.17,0.13,0.12,0.14,0.13,0.16,0.14,0.14,0.15,0.14,0.15
117,0.15,0.14,0.17,0.15,0.18,0.13,0.12,0.14,0.13,0.16,0.14,0.14,0.15,0.14,0.15
118,0.14,0.14,0.17,0.16,0.18,0.14,0.12,0.14,0.14,0.16,0.14,0.14,0.15,0.14,0.15
119,0.14,0.14,0.17,0.16,0.18,0.14,0.12,0.14,0.14,0.16,0.14,0.14,0.15,0.14,0.15
120,0.14,0.14,0.17,0.16,0.18,0.14,0.12,0.14,0.15,0.15,0.14,0.14,0.15,0.14,0.15
121,0.14,0.13,0.17,0.16,0.18,0.14,0.13,0.14,0.15,0.16,0.14,0.14,0.15,0.14,0.15
122,0.14,0.13,0.17,0.16,0.18,0.14,0.13,0.14,0.15,0.16,0.14,0.14,0.15,0.14,0.15
123,0.14,0.13,0.17,0.16,0.18,0.14,0.13,0.14,0.16,0.15,0.14,0.14,0.15,0.14,0.15
124,0.14,0.14,0.17,0.16,0.18,0.14,0.13,0.14,0.16,0.15,0.14,0.14,0.15,0.14,0.15
125,0.14,0.14,0.17,0.16,0.18,0.14,0.13,0.15,0.15,0.15,0.14,0.14,0.15,0.15,0.15
126,0.14,0.14,0.17,0.16,0.18,0.14,0.13,0.15,0.14,0.15,0.14,0.14,0.15,0.15,0.15
127,0.14,0.14,0.17,0.16,0.18,0.14,0.13,0.15,0.14,0.15,0.14,0.14,0.15,0.15,0.15
128,0.14,0.14,0.17,0.16,0.18,0.14,0.13,0.15,0.15,0.15,0.14,0.14,0.15,0.14,0.15
129,0.14,0.14,0.17,0.16,0.18,0.14,0.13,0.15,0.15,0.15,0.14,0.14,0.15,0.14,0.15
130,0.14,0.14,0.17,0.16,0.18,0.14,0.13,0.14,0.15,0.15,0.15,0.14,0.15,0.14,0.15
131,0.14,0.13,0.17,0.16,0.18,0.14,0.14,0.13,0.16,0.15,0.15,0.14,0.15,0.14,0.15
132,0.14,0.13,0.17,0.16,0.18,0.14,0.13,0.15,0.16,0.15,0.14,0.14,0.15,0.14,0.15
133,0.14,0.13,0.17,0.16,0.18,0.14,0.13,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.15
134,0.14,0.13,0.17,0.16,0.18,0.14,0.13,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15
135,0.14,0.13,0.17,0.16,0.18,0.14,0.13,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.15
136,0.14,0.13,0.17,0.16,0.18,0.14,0.13,0.15,0.14,0.15,0.15,0.15,0.15,0.16,0.15
137,0.14,0.13,0.17,0.16,0.19,0.14,0.13,0.15,0.15,0.15,0.15,0.14,0.15,0.16,0.15
138,0.14,0.13,0.16,0.16,0.19,0.15,0.13,0.15,0.15,0.15,0.15,0.14,0.15,0.16,0.15
139,0.14,0.13,0.16,0.16,0.19,0.15,0.14,0.15,0.15,0.15,0.15,0.14,0.15,0.16,0.15
140,0.14,0.14,0.16,0.16,0.19,0.15,0.13,0.15,0.15,0.15,0.15,0.14,0.15,0.16,0.15
141,0.14,0.14,0.16,0.16,0.19,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.15
143,0.14,0.14,0.16,0.16,0.19,0.15,0.14,0.15,0.16,0.15,0.15,0.15,0.15,0.16,0.15
144,0.14,0.14,0.16,0.16,0.19,0.15,0.14,0.15,0.16,0.15,0.14,0.15,0.15,0.16,0.15
145,0.14,0.14,0.16,0.16,0.19,0.15,0.14,0.15,0.16,0.15,0.14,0.15,0.15,0.15,0.15
146,0.14,0.14,0.16,0.16,0.2,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
147,0.14,0.14,0.16,0.16,0.21,0.14,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15
148,0.14,0.14,0.16,0.16,0.21,0.14,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15
149,0.14,0.14,0.16,0.16,0.21,0.14,0.14,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15
150,0.14,0.14,0.16,0.16,0.21,0.14,0.14,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15
152,0.14,0.14,0.16,0.16,0.21,0.14,0.14,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15
153,0.14,0.14,0.15,0.16,0.21,0.14,0.14,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15
154,0.14,0.14,0.15,0.16,0.21,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
156,0.14,0.14,0.15,0.16,0.21,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
157,0.14,0.15,0.15,0.16,0.21,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
158,0.15,0.15,0.15,0.15,0.2,0.14,0.14,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.15
159,0.15,0.15,0.14,0.15,0.2,0.15,0.14,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.15
160,0.15,0.15,0.14,0.15,0.2,0.15,0.14,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.15
161,0.15,0.15,0.14,0.15,0.2,0.15,0.14,0.15,0.15,0.15,0.16,0.16,0.15,0.15,0.15
162,0.15,0.15,0.14,0.15,0.2,0.15,0.14,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15
163,0.15,0.15,0.14,0.14,0.2,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15
164,0.15,0.15,0.14,0.15,0.2,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.14,0.15,0.15
165,0.15,0.15,0.14,0.15,0.2,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.14,0.15,0.15
166,0.15,0.15,0.14,0.15,0.2,0.15,0.15,0.14,0.15,0.15,0.16,0.15,0.15,0.15,0.15
167,0.15,0.15,0.14,0.15,0.2,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15
168,0.15,0.15,0.14,0.15,0.2,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.16
171,0.15,0.15,0.14,0.15,0.2,0.14,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.16
172,0.15,0.15,0.15,0.15,0.2,0.14,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.16
173,0.15,0.15,0.15,0.15,0.19,0.15,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.16
174,0.15,0.15,0.15,0.15,0.19,0.15,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.16
175,0.15,0.15,0.15,0.15,0.19,0.15,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.16
176,0.14,0.15,0.15,0.15,0.19,0.15,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.16
177,0.15,0.15,0.15,0.15,0.19,0.15,0.15,0.16,0.16,0.15,0.15,0.15,0.14,0.15,0.16
178,0.15,0.15,0.15,0.15,0.19,0.15,0.15,0.16,0.16,0.15,0.15,0.15,0.14,0.15,0.16
179,0.15,0.15,0.15,0.15,0.19,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.16
180,0.15,0.15,0.15,0.15,0.19,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.16
181,0.15,0.15,0.15,0.15,0.19,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.16
182,0.15,0.15,0.15,0.15,0.19,0.15,0.15,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15
184,0.15,0.15,0.15,0.15,0.19,0.15,0.15,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15
185,0.15,0.15,0.15,0.15,0.19,0.15,0.15,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15
187,0.15,0.15,0.15,0.15,0.19,0.15,0.15,0.15,0.16,0.16,0.15,0.15,0.16,0.15,0.15
188,0.15,0.15,0.15,0.15,0.19,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.16,0.15,0.15
189,0.15,0.15,0.15,0.15,0.19,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.16,0.15,0.16
190,0.15,0.15,0.15,0.16,0.19,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.16
191,0.15,0.15,0.15,0.16,0.19,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.16
192,0.15,0.15,0.16,0.16,0.19,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16
193,0.15,0.15,0.16,0.16,0.2,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16
194,0.15,0.15,0.16,0.16,0.2,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.16
196,0.15,0.15,0.16,0.16,0.2,0.15,0.14,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.16
197,0.15,0.15,0.16,0.16,0.2,0.15,0.14,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.16
198,0.15,0.15,0.16,0.16,0.2,0.15,0.14,0.16,0.15,0.15,0.15,0.16,0.15,0.15,0.16
199,0.15,0.14,0.16,0.16,0.2,0.16,0.15,0.16,0.15,0.15,0.15,0.16,0.15,0.15,0.16
201,0.15,0.14,0.17,0.16,0.2,0.16,0.15,0.16,0.15,0.16,0.15,0.16,0.15,0.15,0.16
