0_0,0_1,0_2,0_3,0_4,1_0,1_1,1_2,1_3,1_4,2_0,2_1,2_2,2_3,2_4,3_0,3_1,3_2,3_3,3_4,4_0,4_1,4_2,4_3,4_4
59,0.1,0.11,0.09,0.1,0.14,0.1,0.1,0.12,0.12,0.1,0.1,0.12,0.28,0.13,0.13,0.1,0.12,0.15,0.12,0.11,0.11,0.11,0.08,0.13,0.12
60,0.1,0.11,0.09,0.1,0.14,0.1,0.1,0.12,0.12,0.1,0.1,0.12,0.28,0.13,0.13,0.1,0.12,0.15,0.13,0.11,0.11,0.11,0.08,0.12,0.12
61,0.1,0.11,0.09,0.1,0.14,0.1,0.1,0.12,0.12,0.1,0.1,0.12,0.26,0.14,0.13,0.1,0.12,0.16,0.13,0.11,0.11,0.11,0.08,0.12,0.12
62,0.1,0.11,0.1,0.1,0.14,0.1,0.11,0.12,0.12,0.1,0.1,0.11,0.26,0.14,0.13,0.1,0.12,0.15,0.13,0.11,0.11,0.11,0.09,0.12,0.12
63,0.1,0.11,0.1,0.1,0.13,0.1,0.11,0.12,0.12,0.1,0.1,0.11,0.26,0.13,0.13,0.1,0.12,0.15,0.13,0.11,0.11,0.11,0.09,0.12,0.12
64,0.1,0.11,0.1,0.1,0.13,0.1,0.11,0.12,0.12,0.1,0.1,0.11,0.26,0.13,0.13,0.1,0.12,0.15,0.13,0.11,0.11,0.11,0.09,0.12,0.12
65,0.1,0.11,0.1,0.1,0.13,0.1,0.11,0.12,0.12,0.1,0.11,0.11,0.26,0.13,0.13,0.1,0.12,0.15,0.13,0.1,0.11,0.11,0.09,0.12,0.12
66,0.1,0.11,0.1,0.1,0.13,0.1,0.11,0.12,0.12,0.1,0.1,0.11,0.26,0.13,0.13,0.11,0.12,0.15,0.13,0.1,0.11,0.11,0.09,0.12,0.12
67,0.1,0.11,0.1,0.1,0.13,0.1,0.12,0.12,0.11,0.11,0.1,0.11,0.26,0.13,0.13,0.11,0.12,0.15,0.13,0.1,0.11,0.11,0.09,0.12,0.12
68,0.1,0.11,0.1,0.1,0.13,0.1,0.12,0.12,0.11,0.11,0.1,0.11,0.26,0.13,0.13,0.11,0.12,0.16,0.13,0.1,0.11,0.11,0.09,0.12,0.12
69,0.1,0.11,0.1,0.1,0.13,0.1,0.12,0.11,0.11,0.11,0.1,0.11,0.26,0.13,0.13,0.11,0.12,0.16,0.13,0.1,0.11,0.11,0.09,0.12,0.12
70,0.1,0.11,0.1,0.1,0.13,0.1,0.12,0.11,0.11,0.11,0.1,0.11,0.26,0.13,0.13,0.11,0.12,0.16,0.13,0.1,0.12,0.11,0.09,0.12,0.12
71,0.1,0.11,0.1,0.1,0.13,0.1,0.12,0.12,0.11,0.11,0.1,0.12,0.25,0.13,0.13,0.11,0.12,0.17,0.13,0.1,0.12,0.11,0.09,0.12,0.12
72,0.1,0.11,0.1,0.1,0.13,0.1,0.12,0.12,0.11,0.11,0.1,0.12,0.24,0.14,0.13,0.11,0.12,0.17,0.13,0.1,0.12,0.11,0.09,0.12,0.12
73,0.1,0.11,0.1,0.1,0.13,0.1,0.12,0.12,0.11,0.11,0.1,0.12,0.24,0.14,0.14,0.11,0.13,0.16,0.13,0.1,0.12,0.11,0.09,0.12,0.12
74,0.1,0.11,0.1,0.1,0.13,0.1,0.12,0.12,0.11,0.11,0.1,0.12,0.24,0.14,0.14,0.12,0.13,0.16,0.13,0.1,0.12,0.11,0.09,0.12,0.12
75,0.1,0.11,0.1,0.1,0.13,0.1,0.12,0.13,0.11,0.11,0.1,0.12,0.24,0.14,0.14,0.12,0.13,0.16,0.14,0.1,0.12,0.11,0.09,0.12,0.12
